device_id,EngSpeed,EngOilPress,EngCoolantTemp,EngFuelRate,BatteryPotential_PowerInput1,EngSpeed_normal,EngOilPress_normal,EngCoolantTemp_normal,EngFuelRate_normal,BatteryPotential_PowerInput1_normal,normal_label
id0006,0.612707761,0.973052452,-1.079998327,-1.589749343,0.145354884,True,True,True,True,True,True
id0004,-0.943310821,-0.926601434,-0.387264815,-0.929859558,-0.213888454,True,True,True,True,True,True
id0006,2.019630044,1.533206803,0.305468698,0.997018616,-13.93698399,True,True,True,True,True,True
id0002,1.342798666,1.484497729,0.998202211,0.257942056,-0.070191119,True,True,True,True,True,True
id0006,-0.651294709,-0.731765138,0.305468698,1.419348079,-0.716829128,True,True,True,True,True,True
id0006,1.593680399,1.55756134,-0.387264815,1.102600982,-0.070191119,True,True,True,True,True,True
id0002,0.454650497,1.046116063,-1.079998327,0.020381734,-0.285737122,True,True,True,True,True,True
id0006,-0.942931119,-1.218855878,2.383669236,-0.61311246,0.360900887,True,True,True,True,True,True
id0002,1.801453305,1.40291003,0.998202211,-0.164387406,-2.010105147,True,True,True,True,True,True
id0006,-0.94710784,-1.12143773,0.998202211,-1.061837515,-1.435315805,True,True,True,True,True,True
id0006,0.616985736,0.680798008,0.305468698,0.653875928,-0.716829128,True,True,True,True,True,True
id0003,0.285657817,-0.220319861,2.383669236,-0.190782998,0.073506216,True,True,True,True,True,True
id0002,-0.942829865,-0.829183286,-1.079998327,-0.665903643,1.510479571,True,True,True,True,True,True
id0006,1.354645366,1.216597822,0.305468698,-0.006013858,-0.860526464,True,True,True,True,True,True
id0002,-0.450103304,-0.756119675,0.998202211,-0.032409449,-0.716829128,True,True,True,True,True,True
id0006,-0.582568657,-0.853537823,2.383669236,0.231546465,-0.501283125,True,True,True,True,True,True
id0006,-0.084222507,-0.63434699,0.998202211,0.178755282,-0.860526464,True,True,True,True,True,True
id0006,-0.943184253,-0.950955971,-1.079998327,-0.322760955,0.073506216,True,True,True,True,True,True
id0002,-0.14454449,-0.293383472,0.305468698,0.442711196,0.504598223,True,True,True,True,True,True
id0006,0.048268159,-0.171610787,0.998202211,0.310733239,-8.620182576,True,True,True,True,True,True
id0004,-0.943462701,-0.999665045,-0.387264815,-0.058805041,-0.285737122,True,True,True,True,True,True
id0004,-0.943032372,-1.024019582,-0.387264815,0.52189797,-0.644980461,True,True,True,True,True,True
id0003,1.501893782,1.419958206,-0.387264815,1.340161304,-0.213888454,True,True,True,True,True,True
id0006,-0.790316249,-0.820659198,0.305468698,0.389920013,1.726025574,True,True,True,True,True,True
id0002,-0.223598436,-0.439510694,0.998202211,0.363524422,-1.435315805,True,True,True,True,True,True
id0006,0.049027563,0.45186536,-0.387264815,1.588279864,1.294933568,True,True,True,True,True,True
id0002,2.120276374,1.947233932,0.305468698,-0.7978816,-1.004223799,True,True,True,True,True,False
id0003,0.907128651,0.705152545,0.305468698,0.337128831,-0.716829128,True,True,True,True,True,True
id0006,1.826133931,1.630624951,-0.387264815,-0.665903643,1.654176906,True,True,True,True,True,True
id0006,-0.948753215,-1.106825008,0.305468698,-0.533925686,-2.656743157,True,True,True,True,True,True
id0002,1.048251208,1.013237438,0.305468698,0.838645067,-0.860526464,True,True,True,True,True,True
id0004,0.790787974,0.656443471,-0.387264815,0.099568508,0.360900887,True,True,True,True,True,True
id0006,-0.944424613,-0.882763267,-1.079998327,-2.751155365,-7.25505789,True,True,True,True,True,True
id0004,-0.942045147,-1.048374119,-1.079998327,0.838645067,0.28905222,True,True,True,True,True,True
id0006,-0.942753924,-0.780474212,-1.079998327,-1.853705257,0.720144226,True,True,True,True,True,True
id0006,-0.942677984,-1.161622716,1.690935723,-0.085200632,0.504598223,True,True,True,True,True,True
id0006,0.705076588,0.33983449,0.305468698,0.363524422,-1.435315805,True,True,True,True,True,True
id0004,1.723513152,1.907048946,0.305468698,-0.507530095,0.504598223,True,True,True,True,True,False
id0006,-0.065591798,-0.512574305,1.690935723,1.055088917,0.648295558,True,True,True,True,True,True
id0004,-0.942753924,-0.780474212,-1.079998327,0.178755282,1.869722909,True,True,True,True,True,True
id0002,0.194048393,-0.049838102,0.998202211,1.181787756,-11.20673461,True,True,True,True,True,True
id0006,1.358214565,1.256782808,0.305468698,0.073172916,-0.285737122,True,True,True,True,True,True
id0004,-0.942348909,-0.731765138,-1.77273184,-0.507530095,0.504598223,True,True,True,True,True,True
id0004,0.170279051,0.071934583,0.305468698,-0.454738912,0.720144226,True,True,True,True,True,True
id0002,-0.942880492,-1.072728656,-0.387264815,-0.481134503,-11.20673461,True,True,True,True,True,True
id0006,0.528388615,0.656443471,0.305468698,1.023414207,-0.213888454,True,True,True,True,True,True
